# normalize enrichment scores by using the entire data set
# as indicated by Barbie et al., 2009, online methods, pg. 2
Term|NES	P10	P11	P14	P16	P17	P18	P19A	P19B	P20	P23	P24A	P24B	P25	P26	P27	P28	P31	P5	P6	P7	P8	P9
REACTOME_3_UTR_MEDIATED_TRANSLATIONAL_REGULATION	0.2621685427507199	0.2392657069015798	0.25426986176701594	0.23195861807185045	0.2633227837526468	0.2644029555234049	0.2583609202207147	0.23799753737018245	0.23885673810526692	0.23821921151179584	0.2462163350808484	0.2537511775348303	0.220649991506976	0.26301713696908896	0.22363500424010863	0.23581682857644193	0.246363178542533	0.2649949935807638	0.26057918782582196	0.2543569886781868	0.25705278537782056	0.23411641485477738
REACTOME_ABACAVIR_TRANSPORT_AND_METABOLISM	-0.16405493033903873	-0.13918133996845572	-0.13607773745491153	-0.08374916158825237	-0.19411266412246542	-0.16342041059848061	-0.19823628250652334	-0.1767137357745563	-0.16792071906942288	-0.1648551258632557	0.015465303498567602	-0.13243263345568604	-0.13084593463234034	0.06741254723208528	-0.18210869507692304	-0.1783734468297478	-0.024526720183064617	-0.12900310336274534	-0.08933532504265485	0.05303875003143023	0.01760150121827119	-0.1854174443783284
REACTOME_ABCA_TRANSPORTERS_IN_LIPID_HOMEOSTASIS	0.33975856629333057	0.33767021636111033	0.3320297039871027	0.31112567202342356	0.39205013628426094	0.3343493295415577	0.3342876254413091	0.3527278094719637	0.391163178549842	0.37502177830651956	0.3592990197341624	0.3690664593057315	0.3639363395392488	0.3755751085735684	0.311636380255892	0.3513662145316778	0.36007933208031556	0.3269340943553289	0.2876353119117808	0.2818403206434565	0.3126521090678365	0.34645092762897417
REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT	0.33975856629333057	0.33767021636111033	0.3320297039871027	0.31112567202342356	0.39205013628426094	0.3343493295415577	0.3342876254413091	0.3527278094719637	0.391163178549842	0.37502177830651956	0.3592990197341624	0.3690664593057315	0.3639363395392488	0.3755751085735684	0.311636380255892	0.3513662145316778	0.36007933208031556	0.3269340943553289	0.2876353119117808	0.2818403206434565	0.3126521090678365	0.34645092762897417
REACTOME_ABORTIVE_ELONGATION_OF_HIV1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT	0.28669311509224704	0.26660459938788394	0.3036371489759061	0.25047583369363735	0.29308986627087963	0.3045497389757936	0.3003972100154904	0.28519166976135946	0.29460235003336344	0.28273502653801313	0.2742458623203632	0.28215113971562733	0.2871979061665033	0.29594149031078104	0.2659608388108055	0.2804839476507034	0.27430326045295783	0.2887472597439767	0.2989759165812439	0.2863439461351919	0.28602920119894426	0.29211283921484665
REACTOME_ACETYLCHOLINE_NEUROTRANSMITTER_RELEASE_CYCLE	0.013315967862841876	0.02460308661071973	0.03957498999423841	0.08826585044032688	0.034502567324099766	0.04213967392954926	0.031635580934087644	0.0451481059281113	0.03437044149098784	0.13990506763818936	-0.0017871117934786978	0.015993139449445543	0.07645961626152137	0.016264554577119117	0.17507724429832908	0.15994771230026406	0.06487007663346371	0.16014012139999237	0.0074254513492115586	0.02111483704473581	0.0037653737562939374	0.0010145476324766745
REACTOME_ACTIVATED_AMPK_STIMULATES_FATTY_ACID_OXIDATION_IN_MUSCLE	0.17002929493554325	0.16900339867961714	0.21875858034012652	0.18433405944474443	0.12426836814378714	0.21252431609168237	0.15641326381077972	0.13883651837165437	0.21377465977502166	0.2096682474709584	0.15036710133250664	0.2160744905390698	0.12255018167908498	0.19800672531865018	0.18906312705400288	0.20307295678681153	0.20947657279324494	0.1547050069051135	0.18111810904846223	0.12812056471754027	0.19248686006362853	0.18655366127131776
REACTOME_ACTIVATED_NOTCH1_TRANSMITS_SIGNAL_TO_THE_NUCLEUS	0.12737589209158892	0.1197802643829007	0.13907229515664668	0.12790015532693474	0.14835941015065365	0.1420471950644267	0.13843865609251704	0.13080390325884084	0.15574678988466376	0.13180823336727246	0.1421098435964604	0.14623988558902598	0.13907146664118414	0.12788008194951603	0.14681914932717302	0.14721495020592437	0.11785052142525554	0.14924795682294437	0.14258450330636466	0.12510244248958052	0.11631493855189394	0.1394639812408593
REACTOME_ACTIVATED_POINT_MUTANTS_OF_FGFR2	-0.1806004971404946	-0.2035587344153889	-0.18094653005298755	-0.16683686229610142	-0.23948677335403748	-0.2761561659817445	-0.26279999499615053	-0.19426051457992102	-0.16922155937278172	-0.18065210821279964	-0.25988000953779733	-0.1837900808641092	-0.2038461040044613	-0.21891986017453846	-0.03659859776078274	-0.15561313915980257	-0.1711170213374057	-0.16918046743090445	-0.20712855331019622	-0.15152175261162357	-0.26173134504006906	-0.21207514120211687
REACTOME_ACTIVATED_TAK1_MEDIATES_P38_MAPK_ACTIVATION	0.21159458573833928	0.2082819979923704	0.1945272926992207	0.19914080556942645	0.19127950496875937	0.22536909562750035	0.1855353575452107	0.17866670508698235	0.21428940663952367	0.19632109478636953	0.23536939349206745	0.1972171117329718	0.23746705172142654	0.22629477561854364	0.21295324652883665	0.19746842739789852	0.21665106325879172	0.19112686215553906	0.23191362794290263	0.19526554494162177	0.2208419814182668	0.25723434904316184
